seedf_ra_name,region_id,note
BRASILIA,RA-I,Nome usado pela SEEDF até 2023 para a RA I; PLANO PILOTO a partir de 2024.
SOL NASCENTE POR DO SOL,RA-XXXII,SEEDF grafa 'SOL NASCENTE / POR DO SOL'; GDF grafa 'SOL NASCENTE E POR DO SOL'.
